chat_id,predicted_resolution,explanation,confidence,raw_response,ground_truth,analysis_type,is_correct
90013,Çözüldü,Müşteriye siparişin bugün kargoya verileceği ve takip numarasının e-posta ile gönderileceği bilgisi verildi. Müşteri teşekkür etti ve memnuniyet belirttiği için çözüm sağlandı.,Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşteriye siparişin bugün kargoya verileceği ve takip numarasının e-posta ile gönderileceği bilgisi verildi. Müşteri teşekkür etti ve memnuniyet belirttiği için çözüm sağlandı.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90014,Çözülemedi,"Kullanıcının kredi kartı reddi sorunu devam ediyor. Bot, güvenlik nedeniyle reddedilme nedenlerini göremediğini belirtti ve bankayla görüşmesini tavsiye etti. Müşteri bu yanıt yüzünden tatmin olmadı ve sorun hâlâ çözülemedi.",Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Kullanıcının kredi kartı reddi sorunu devam ediyor. Bot, güvenlik nedeniyle reddedilme nedenlerini göremediğini belirtti ve bankayla görüşmesini tavsiye etti. Müşteri bu yanıt yüzünden tatmin olmadı ve sorun hâlâ çözülemedi.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
90015,Çözüldü,Müşteri beden tablosunu ürün sayfasında buldu. Bot yönlendirmesiyle gerekli bilgiye ulaştı ve sorun çözüldü.,Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşteri beden tablosunu ürün sayfasında buldu. Bot yönlendirmesiyle gerekli bilgiye ulaştı ve sorun çözüldü.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90016,Çözülemedi,"Müşteri, adres değişikliğini siparişin kargoya verilmiş olması nedeniyle nasıl düzelteceğini sordu. Bot, yalnızca kargo firmasıyla iletişime geçilmesini önerdi ve herhangi bir somut çözüm (adres düzeltmesiyle yeniden gönderim/iadeler vb.) sağlamadı. Müşteri bu yanıtı tatmin edici bulmadı ve sorun devam ediyor.",Orta,"{'status': 'Çözülemedi', 'explanation': 'Müşteri, adres değişikliğini siparişin kargoya verilmiş olması nedeniyle nasıl düzelteceğini sordu. Bot, yalnızca kargo firmasıyla iletişime geçilmesini önerdi ve herhangi bir somut çözüm (adres düzeltmesiyle yeniden gönderim/iadeler vb.) sağlamadı. Müşteri bu yanıtı tatmin edici bulmadı ve sorun devam ediyor.', 'confidence': 'Orta'}",Çözülemedi,resolution,True
90017,Çözülemedi,"Çözüm durumu: Çözülemedi. Neden: Müşteri, yorumunun hangi kurala aykırı olduğunun net olarak açıklanmasını talep ediyor; mevcut yanıt yalnızca 'içerik kurallarına uygunluk açısından incelenmektedir' şeklinde genel bir ifade içeriyor ve spesifik kural belirtilmiyor. Bu nedenle müşteri tatmin olmadı. Önerilen aksiyonlar: 1) Moderasyon ekibinden ilgili kuralı ve gerekçeyi net olarak paylaşın (hangi madde/ kriter nedeniyle inceleme yapıldığı) ve bu bilgiyi müşteriye bildirin. 2) Yorum inceleme süreci hakkında net bir zaman çerçevesi ve ilerleme durumu açıklayın. 3) Gerekirse müşteriye hangi içeriklerin kurala uygun/aykırı olduğuna dair örnekler gösterin ve yorumunu düzeltmesi için yönerge verin. Empatik bir tonla özür dilenebilir: 'Üzgünüz, açıklama eksikti; şimdi gerekli bilgiyi sağlıyoruz/sağlayacağız'",Orta,"{'status': 'Çözülemedi', 'explanation': ""Çözüm durumu: Çözülemedi. Neden: Müşteri, yorumunun hangi kurala aykırı olduğunun net olarak açıklanmasını talep ediyor; mevcut yanıt yalnızca 'içerik kurallarına uygunluk açısından incelenmektedir' şeklinde genel bir ifade içeriyor ve spesifik kural belirtilmiyor. Bu nedenle müşteri tatmin olmadı. Önerilen aksiyonlar: 1) Moderasyon ekibinden ilgili kuralı ve gerekçeyi net olarak paylaşın (hangi madde/ kriter nedeniyle inceleme yapıldığı) ve bu bilgiyi müşteriye bildirin. 2) Yorum inceleme süreci hakkında net bir zaman çerçevesi ve ilerleme durumu açıklayın. 3) Gerekirse müşteriye hangi içeriklerin kurala uygun/aykırı olduğuna dair örnekler gösterin ve yorumunu düzeltmesi için yönerge verin. Empatik bir tonla özür dilenebilir: 'Üzgünüz, açıklama eksikti; şimdi gerekli bilgiyi sağlıyoruz/sağlayacağız'"", 'confidence': 'Orta'}",Çözülemedi,resolution,True
90018,Çözüldü,"Kullanıcıya hata için bilgi verildi ve teknik ekibin hatayı en kısa sürede çözeceği belirtildi. Kullanıcı da ""Anladım"" ve ""Teşekkürler"" diyerek memnuniyetini ifade etti; bu durumda sorun çözüldü olarak kabul edildi.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Kullanıcıya hata için bilgi verildi ve teknik ekibin hatayı en kısa sürede çözeceği belirtildi. Kullanıcı da ""Anladım"" ve ""Teşekkürler"" diyerek memnuniyetini ifade etti; bu durumda sorun çözüldü olarak kabul edildi.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90019,Çözülemedi,"Müşteri, hesabından ödeme yapıldığını ancak siparişin görünmediğini belirtti. Bot yalnızca beklemeyi önerdi ve bankadan iade edilebileceğini söyledi; bu belirsiz yönlendirmedir ve somut aksiyon (siparişin bulunması/tespit edilmesi, ödeme iadesinin başlatılması veya net bir iade prosedürü sağlanması) verilmedi. Müşteri ise parasını geri istediğini belirtti. Şu anda herhangi bir işlem ile çözüme ulaşılmadı; sorun çözümlenmedi olarak değerlendiriliyor.",Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Müşteri, hesabından ödeme yapıldığını ancak siparişin görünmediğini belirtti. Bot yalnızca beklemeyi önerdi ve bankadan iade edilebileceğini söyledi; bu belirsiz yönlendirmedir ve somut aksiyon (siparişin bulunması/tespit edilmesi, ödeme iadesinin başlatılması veya net bir iade prosedürü sağlanması) verilmedi. Müşteri ise parasını geri istediğini belirtti. Şu anda herhangi bir işlem ile çözüme ulaşılmadı; sorun çözümlenmedi olarak değerlendiriliyor.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
90020,Çözüldü,Müşterinin kumaş bilgisi talebi vardı. Ürün açıklamasında kumaş bilgisi bulunduğu görüldü ve müşteri bunu teyit edip teşekkür etti. Bilginin paylaşılması çözüme ulaştı.,Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşterinin kumaş bilgisi talebi vardı. Ürün açıklamasında kumaş bilgisi bulunduğu görüldü ve müşteri bunu teyit edip teşekkür etti. Bilginin paylaşılması çözüme ulaştı.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90021,Çözüldü,Eksik promosyon ürünleri (çanta ve cüzdan) için somut aksiyon alındı: eksik ürünler en kısa sürede kargoya verilecek. Müşteriye bilgi verildi ve teşekkür edildi; müşteri memnun kaldı ve çözüm sağlandı.,Yüksek,"{'status': 'Çözüldü', 'explanation': 'Eksik promosyon ürünleri (çanta ve cüzdan) için somut aksiyon alındı: eksik ürünler en kısa sürede kargoya verilecek. Müşteriye bilgi verildi ve teşekkür edildi; müşteri memnun kaldı ve çözüm sağlandı.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90022,Çözülemedi,"Müşteri iptal ettiği siparişin iadesinin bir hafta geçmesine rağmen banka hesabına yansımadığını belirtti. Gönderilen cevap yalnızca iade süresiyle ilgili bilgi verdi ve şu anda müşteriyle net bir aksiyon (iade başlatma/izleme, finansla kontrol) alınmadı. Müşteri halen memnun değil ve sorun çözülmedi. İade durumunun hızlandırılması veya net ETA ile bilgilendirme gerekir.",Orta,"{'status': 'Çözülemedi', 'explanation': 'Müşteri iptal ettiği siparişin iadesinin bir hafta geçmesine rağmen banka hesabına yansımadığını belirtti. Gönderilen cevap yalnızca iade süresiyle ilgili bilgi verdi ve şu anda müşteriyle net bir aksiyon (iade başlatma/izleme, finansla kontrol) alınmadı. Müşteri halen memnun değil ve sorun çözülmedi. İade durumunun hızlandırılması veya net ETA ile bilgilendirme gerekir.', 'confidence': 'Orta'}",Çözülemedi,resolution,True
90023,Çözüldü,"Kullanıcı hasar bildirmiş ve fotoğrafını göndermiştir. Bot, fotoğrafın incelendiğini ve hasarlı ürünün en kısa sürede yenisiyle değiştirileceğini bildirmiştir. Müşteri teşekkür etmiştir («Çok iyi, teşekkürler!») ve memnun ifadeler kullanmıştır. Bu durum, Çözüm Durumu Kuralları’na göre çözümlenmiştir. Bilgi verme de çözümdür olarak kabul edilir.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Kullanıcı hasar bildirmiş ve fotoğrafını göndermiştir. Bot, fotoğrafın incelendiğini ve hasarlı ürünün en kısa sürede yenisiyle değiştirileceğini bildirmiştir. Müşteri teşekkür etmiştir («Çok iyi, teşekkürler!») ve memnun ifadeler kullanmıştır. Bu durum, Çözüm Durumu Kuralları’na göre çözümlenmiştir. Bilgi verme de çözümdür olarak kabul edilir.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90024,Çözülemedi,"Müşteri renk değişimi talep ediyor. Bot, değişim için iade sürecini başlatıp yeniden sipariş verilmesini önerdi. Müşteri ise doğrudan bir değişim seçeneğinin mevcut olup olmadığını sordu ve bu bilgi netleşmedi; şu anda müşteri tatmin edici bir çözüm veya aksiyon (ör. doğrudan değişim işlemi başlatılması veya stok kontrolü) elde edilmedi. Bilgi verildi fakat müşteri tatmin olmadı.",Orta,"{'status': 'Çözülemedi', 'explanation': 'Müşteri renk değişimi talep ediyor. Bot, değişim için iade sürecini başlatıp yeniden sipariş verilmesini önerdi. Müşteri ise doğrudan bir değişim seçeneğinin mevcut olup olmadığını sordu ve bu bilgi netleşmedi; şu anda müşteri tatmin edici bir çözüm veya aksiyon (ör. doğrudan değişim işlemi başlatılması veya stok kontrolü) elde edilmedi. Bilgi verildi fakat müşteri tatmin olmadı.', 'confidence': 'Orta'}",Çözülemedi,resolution,True
90025,Çözüldü,"Kullanıcı indirim kampanyaları hakkında bilgi istedi. Bot, kampanyaların ana sayfada ve e-posta bülteninde bulunduğunu belirtti ve abonelik için bilgi verdi. Müşteri teşekkür etti; bu memnuniyet ifadesiyle çözüm sağlandı olarak değerlendiriyoruz.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Kullanıcı indirim kampanyaları hakkında bilgi istedi. Bot, kampanyaların ana sayfada ve e-posta bülteninde bulunduğunu belirtti ve abonelik için bilgi verdi. Müşteri teşekkür etti; bu memnuniyet ifadesiyle çözüm sağlandı olarak değerlendiriyoruz.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90026,Çözüldü,"Müşteriden sipariş numarası ve yanlış gelen ürünün fotoğrafı alındı. Bot, kontrolün sürdüğünü ve doğru ürünün en kısa sürede gönderileceğini bildirdi ve yanlış ürün için kargo ile ücretsiz iadeyi açıkladı. Müşteri teşekkür ederek memnuniyetini ifade etti; bu, bilgilendirme ve aksiyonun tamamlandığını gösterir.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşteriden sipariş numarası ve yanlış gelen ürünün fotoğrafı alındı. Bot, kontrolün sürdüğünü ve doğru ürünün en kısa sürede gönderileceğini bildirdi ve yanlış ürün için kargo ile ücretsiz iadeyi açıkladı. Müşteri teşekkür ederek memnuniyetini ifade etti; bu, bilgilendirme ve aksiyonun tamamlandığını gösterir.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90027,Çözüldü,"Kullanıcı 'Hesabımı Kapat' talebinde bulundu; bot bu işlemi nasıl yapacağını belirtti (Hesabım sayfasından 'Hesabımı Kapat' butonu ile kapatma). Kullanıcı Anladım, teşekkürler dedi ve memnuniyet ifade etti. Böylece bilgi verme ve memnuniyet ile çözüm sağlandı.",Yüksek,"{'status': 'Çözüldü', 'explanation': ""Kullanıcı 'Hesabımı Kapat' talebinde bulundu; bot bu işlemi nasıl yapacağını belirtti (Hesabım sayfasından 'Hesabımı Kapat' butonu ile kapatma). Kullanıcı Anladım, teşekkürler dedi ve memnuniyet ifade etti. Böylece bilgi verme ve memnuniyet ile çözüm sağlandı."", 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90028,Çözülemedi,"Ürün stokta olmadığı için eksik ürün gönderilemedi. Müşteri ürünü almak istiyor ve iade talebini kabul etmiyor; şu aşamada net bir çözüm uygulanmadı (_backorder/tedarikçi ile restock ETA belirleme, benzer/yerine ürün önerme veya müşteriye alternatif çözümler sunma_ gibi seçenekler hâlinde aksiyon alınmalı). Mevcut durumda müşteri memnuniyetsizliği sürüyor ve sorunun tamamı çözülmüş görünmüyor.",Yüksek,"{'status': 'Çözülemedi', 'explanation': 'Ürün stokta olmadığı için eksik ürün gönderilemedi. Müşteri ürünü almak istiyor ve iade talebini kabul etmiyor; şu aşamada net bir çözüm uygulanmadı (_backorder/tedarikçi ile restock ETA belirleme, benzer/yerine ürün önerme veya müşteriye alternatif çözümler sunma_ gibi seçenekler hâlinde aksiyon alınmalı). Mevcut durumda müşteri memnuniyetsizliği sürüyor ve sorunun tamamı çözülmüş görünmüyor.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,True
90029,Çözüldü,İade kodunun süresi dolmuş olabileceği bildirildi ve müşteri için yeni bir iade kodu ABC-5678 oluşturuldu. Müşteri teşekkür etti ve sorun çözüldü olarak değerlendirildi.,Yüksek,"{'status': 'Çözüldü', 'explanation': 'İade kodunun süresi dolmuş olabileceği bildirildi ve müşteri için yeni bir iade kodu ABC-5678 oluşturuldu. Müşteri teşekkür etti ve sorun çözüldü olarak değerlendirildi.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90030,Çözüldü,"Kullanıcıya teslimat adresini henüz kargoya verilmemişse hesap üzerinden sipariş detaylarına gidip adres güncellemesi yapabileceği bilgisi verildi. Bu bilgi, müşterinin sorununun çözümüne katkı sağladı ve müşteri teşekkür ederek memnun kaldı. (Bilgi verme çözümdür: iade/adres güncelleme gibi bilgilerle talep karşılandı ve olumlu geri dönüş alındı.)",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Kullanıcıya teslimat adresini henüz kargoya verilmemişse hesap üzerinden sipariş detaylarına gidip adres güncellemesi yapabileceği bilgisi verildi. Bu bilgi, müşterinin sorununun çözümüne katkı sağladı ve müşteri teşekkür ederek memnun kaldı. (Bilgi verme çözümdür: iade/adres güncelleme gibi bilgilerle talep karşılandı ve olumlu geri dönüş alındı.)', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90031,Çözüldü,"Müşteri siparişin durumu hakkında bilgi aldı: kargoya verildiği ve tahmini teslimat tarihi verildi. Müşteri teşekkür etti ve memnun kaldı, sorun çözüldü.",Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşteri siparişin durumu hakkında bilgi aldı: kargoya verildiği ve tahmini teslimat tarihi verildi. Müşteri teşekkür etti ve memnun kaldı, sorun çözüldü.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
90032,Çözülmedi,"Mevcut durumda sorun çözülmedi. Müşteri hesabından ödeme çekilmediğini bildirdi, bot ise siparişin tamamlanmadığını belirtti ve müşteri yeniden denese de ödeme gerçekleşmedi. Şu ana kadar bu konuda herhangi bir aksiyon (ödeme işleminin yeniden denenmesi, iade/geri ödeme başlatılması, siparişin iptal/yeniden oluşturulması vb.) uygulanmamış. Çözüm için önerilen adımlar: 1) Ödeme durumunu banka/ödeme sağlayıcısıyla kontrol etmek ve başarısızlığa dair sebebi elde etmek; 2) Müşteriye ödeme yöntemini yeniden denemesini veya farklı bir yöntem kullanmasını önermek; 3) Gerekirse siparişi iptal edilip yeniden oluşturulması ya da mevcut siparişin durumunun güncellenmesi; 4) Müşteriye net bilgi vererek takip adımları konusunda yönlendirmek.",Yüksek,"{'status': 'Çözülmedi', 'explanation': 'Mevcut durumda sorun çözülmedi. Müşteri hesabından ödeme çekilmediğini bildirdi, bot ise siparişin tamamlanmadığını belirtti ve müşteri yeniden denese de ödeme gerçekleşmedi. Şu ana kadar bu konuda herhangi bir aksiyon (ödeme işleminin yeniden denenmesi, iade/geri ödeme başlatılması, siparişin iptal/yeniden oluşturulması vb.) uygulanmamış. Çözüm için önerilen adımlar: 1) Ödeme durumunu banka/ödeme sağlayıcısıyla kontrol etmek ve başarısızlığa dair sebebi elde etmek; 2) Müşteriye ödeme yöntemini yeniden denemesini veya farklı bir yöntem kullanmasını önermek; 3) Gerekirse siparişi iptal edilip yeniden oluşturulması ya da mevcut siparişin durumunun güncellenmesi; 4) Müşteriye net bilgi vererek takip adımları konusunda yönlendirmek.', 'confidence': 'Yüksek'}",Çözülemedi,resolution,False
90033,Çözüldü,Müşteri beden uyumsuzluğu nedeniyle iade süreci başlatıldı; iade kodu oluşturuldu ve ücretsiz kargo ile iade yapabileceği bilgisi verildi. Müşteri teşekkür etti ve memnun kaldı.,Yüksek,"{'status': 'Çözüldü', 'explanation': 'Müşteri beden uyumsuzluğu nedeniyle iade süreci başlatıldı; iade kodu oluşturuldu ve ücretsiz kargo ile iade yapabileceği bilgisi verildi. Müşteri teşekkür etti ve memnun kaldı.', 'confidence': 'Yüksek'}",Çözüldü,resolution,True
