chat_id,predicted_sentiment,explanation,raw_response,ground_truth,analysis_type,is_correct
90011,Nötr,"Müşteri stok durumu hakkında bilgi talep etti; stokta görünmüyor ve gelecek için net bir tarih verilmedi. Bilgi alındı ve müşteri teşekkür etti, ancak sorun çözülmedi ve memnuniyet ifadeleri yalnızca bilgi alma durumuyla sınırlı. Bu nedenle durum Nötr.","{'sentiment': 'Nötr', 'explanation': 'Müşteri stok durumu hakkında bilgi talep etti; stokta görünmüyor ve gelecek için net bir tarih verilmedi. Bilgi alındı ve müşteri teşekkür etti, ancak sorun çözülmedi ve memnuniyet ifadeleri yalnızca bilgi alma durumuyla sınırlı. Bu nedenle durum Nötr.'}",Nötr,sentiment,True
90012,Negatif,"Müşteri iki kez çekime ilişkin sorunu bildiriyor ve banka ekstresi veremediği için çözüm bulunmuyor. Uygulama çalışmıyor, müşteri botun faydasız olduğunu belirtiyor ve müşteri temsilcisi talep ediyor; bu, öfke/hayat kırıklığı içerir ve sorun çözüldüğü gözükmüyor. Bu durumda Negatif olarak sınıflandırılır.","{'sentiment': 'Negatif', 'explanation': 'Müşteri iki kez çekime ilişkin sorunu bildiriyor ve banka ekstresi veremediği için çözüm bulunmuyor. Uygulama çalışmıyor, müşteri botun faydasız olduğunu belirtiyor ve müşteri temsilcisi talep ediyor; bu, öfke/hayat kırıklığı içerir ve sorun çözüldüğü gözükmüyor. Bu durumda Negatif olarak sınıflandırılır.'}",Negatif,sentiment,True
90013,Pozitif,"Müşteri siparişinin hazırlanıyor olmasıyla ilgili sorun bildirdi; bot bugün kargoya verileceğini söyledi ve takip numarası gelecekti. Sonuç olarak sorun çözüldü ve müşteri teşekkür etti ('Tamam, çok sağolun').","{'sentiment': 'Pozitif', 'explanation': ""Müşteri siparişinin hazırlanıyor olmasıyla ilgili sorun bildirdi; bot bugün kargoya verileceğini söyledi ve takip numarası gelecekti. Sonuç olarak sorun çözüldü ve müşteri teşekkür etti ('Tamam, çok sağolun').""}",Nötr,sentiment,False
90014,Negatif,"Müşteri kredi kartı reddi nedeniyle yardım talep ediyor ve bot bu konuda çözüm sunamıyor. Son mesajda müşteri, 'Çok sinir bozucu bir durum' diyerek hizmete yönelik memnuniyetsizliğini ifade ediyor ve sorun çözülmedi. Bu nedenle sentiment negatif olarak değerlendiriliyor.","{'sentiment': 'Negatif', 'explanation': ""Müşteri kredi kartı reddi nedeniyle yardım talep ediyor ve bot bu konuda çözüm sunamıyor. Son mesajda müşteri, 'Çok sinir bozucu bir durum' diyerek hizmete yönelik memnuniyetsizliğini ifade ediyor ve sorun çözülmedi. Bu nedenle sentiment negatif olarak değerlendiriliyor.""}",Negatif,sentiment,True
90015,Nötr,"Müşteri 'Ürün beden tablosunu bulamıyorum' şeklinde bilgi talep etti, sorununu bildiridi. Sonuçta müşteri kendi başına buldu ve teşekkür ya da memnuniyet ifadesi göstermedi. İçerik bilgi edinme ve rutin yönlendirmeyle ilerledi; herhangi bir olumlu ya da olumsuz duygu ifadisi bulunmuyor. Bu yüzden sentiment Nötr.","{'sentiment': 'Nötr', 'explanation': ""Müşteri 'Ürün beden tablosunu bulamıyorum' şeklinde bilgi talep etti, sorununu bildiridi. Sonuçta müşteri kendi başına buldu ve teşekkür ya da memnuniyet ifadesi göstermedi. İçerik bilgi edinme ve rutin yönlendirmeyle ilerledi; herhangi bir olumlu ya da olumsuz duygu ifadisi bulunmuyor. Bu yüzden sentiment Nötr.""}",Nötr,sentiment,True
90016,Negatif,Müşteri adres güncellemesiyle ilgili çözüm beklerken siparişin kargoya verildiğini öğrendi ve süreçle ilgili tatminsizlik ifade etti. Son mesajında 'Hiçbir işe yarıyorsunuz' ve 'beni kargoya yönlendiriyorsunuz' gibi eleştirel ifadeler kullanıldı; sorun çözülmedi ve müşteri memnuniyetsizliğini belirtti. Bu nedenle Negatif.,"{'sentiment': 'Negatif', 'explanation': ""Müşteri adres güncellemesiyle ilgili çözüm beklerken siparişin kargoya verildiğini öğrendi ve süreçle ilgili tatminsizlik ifade etti. Son mesajında 'Hiçbir işe yarıyorsunuz' ve 'beni kargoya yönlendiriyorsunuz' gibi eleştirel ifadeler kullanıldı; sorun çözülmedi ve müşteri memnuniyetsizliğini belirtti. Bu nedenle Negatif.""}",Negatif,sentiment,True
90017,Negatif,Müşteri 'Çok sinirliyim' diyerek açıkça öfke ve hayal kırıklığı ifade ediyor. Yorumunun neden yayınlanmadığına dair açıklama talep ediyor; şu anda sorun çözülmüş görünmüyor ve müşteri memnuniyetsiz. Bu durumda olumsuz bir sentiment olarak sınıflandırılır.,"{'sentiment': 'Negatif', 'explanation': ""Müşteri 'Çok sinirliyim' diyerek açıkça öfke ve hayal kırıklığı ifade ediyor. Yorumunun neden yayınlanmadığına dair açıklama talep ediyor; şu anda sorun çözülmüş görünmüyor ve müşteri memnuniyetsiz. Bu durumda olumsuz bir sentiment olarak sınıflandırılır.""}",Negatif,sentiment,True
90018,Nötr,Müşteri hata bildirdi ve çözüm henüz kesin olarak uygulanmadı. Son mesajında “Anladım. Teşekkürler.” dediği için bilgi alımı/normal teşekkür türü bir iletişim olarak kabul ediliyor; şu anda sorun çözümlenmiş memnuniyet ifade eden bir durum yok. Bu nedenle nötr sentiment olarak sınıflandırılır.,"{'sentiment': 'Nötr', 'explanation': 'Müşteri hata bildirdi ve çözüm henüz kesin olarak uygulanmadı. Son mesajında “Anladım. Teşekkürler.” dediği için bilgi alımı/normal teşekkür türü bir iletişim olarak kabul ediliyor; şu anda sorun çözümlenmiş memnuniyet ifade eden bir durum yok. Bu nedenle nötr sentiment olarak sınıflandırılır.'}",Nötr,sentiment,True
90019,Negatif,Müşteri ödemesi alınmasına rağmen siparişlerin görünmediğini belirtiyor ve sistem için olumsuz bir eleştiri yapıyor ('Bu ne kadar kötü bir sistem'). Paramın iadesini istiyor ve şu anda ne yapacağını soruyor; sorun çözülmedi görünüyor.,"{'sentiment': 'Negatif', 'explanation': ""Müşteri ödemesi alınmasına rağmen siparişlerin görünmediğini belirtiyor ve sistem için olumsuz bir eleştiri yapıyor ('Bu ne kadar kötü bir sistem'). Paramın iadesini istiyor ve şu anda ne yapacağını soruyor; sorun çözülmedi görünüyor.""}",Negatif,sentiment,True
90020,Nötr,"Bilgi almak için geldi, ürün hakkında bilgi aldı ve teşekkür etti; çözüm/ memnuniyet ifadeleri olmadığından nötr olarak değerlendiriyoruz.","{'sentiment': 'Nötr', 'explanation': 'Bilgi almak için geldi, ürün hakkında bilgi aldı ve teşekkür etti; çözüm/ memnuniyet ifadeleri olmadığından nötr olarak değerlendiriyoruz.'}",Nötr,sentiment,True
90021,Pozitif,"Müşteri eksik promosyon ürünlerini bildirdi, sorun çözüldü ve müşteri hızlı çözüme teşekkür etti.","{'sentiment': 'Pozitif', 'explanation': 'Müşteri eksik promosyon ürünlerini bildirdi, sorun çözüldü ve müşteri hızlı çözüme teşekkür etti.'}",Pozitif,sentiment,True
90022,Negatif,"Müşteri, siparişinin iptal edildiğini ancak iadesinin 1 hafta geçmesine rağmen yapılmadığını belirtiyor ve 'Çok iyi bir hizmet değil bu' diyerek memnuniyetsizliğini ifade ediyor. Sorun çözülmediği için olumsuz bir duygu tetiklenmiş.","{'sentiment': 'Negatif', 'explanation': ""Müşteri, siparişinin iptal edildiğini ancak iadesinin 1 hafta geçmesine rağmen yapılmadığını belirtiyor ve 'Çok iyi bir hizmet değil bu' diyerek memnuniyetsizliğini ifade ediyor. Sorun çözülmediği için olumsuz bir duygu tetiklenmiş.""}",Negatif,sentiment,True
90023,Pozitif,"Müşteri hasarlı ürün bildirdi ve çözüm olarak yenisiyle değiştirileceği belirtildi. Ardından müşteri “Çok iyi, teşekkürler!” diyerek memnuniyet ifadede bulundu. Sorunun çözüldüğü ve memnuniyetin belirtildiği bir durumda sentiment Pozitif olarak sınıflandırılır.","{'sentiment': 'Pozitif', 'explanation': 'Müşteri hasarlı ürün bildirdi ve çözüm olarak yenisiyle değiştirileceği belirtildi. Ardından müşteri “Çok iyi, teşekkürler!” diyerek memnuniyet ifadede bulundu. Sorunun çözüldüğü ve memnuniyetin belirtildiği bir durumda sentiment Pozitif olarak sınıflandırılır.'}",Pozitif,sentiment,True
90024,Negatif,Müşteri değişim talebinde bulunuyor ancak değiştirme seçeneğinin olmadığını düşünüyor; iade ve yeniden sipariş sürecinin zahmetli olduğunu belirterek hizmeti eleştiriyor ve 'Çok kötü bir sistem' ifadesiyle memnuniyetsizliğini net şekilde dile getiriyor. Sorun şu anda çözülmemiş.,"{'sentiment': 'Negatif', 'explanation': ""Müşteri değişim talebinde bulunuyor ancak değiştirme seçeneğinin olmadığını düşünüyor; iade ve yeniden sipariş sürecinin zahmetli olduğunu belirterek hizmeti eleştiriyor ve 'Çok kötü bir sistem' ifadesiyle memnuniyetsizliğini net şekilde dile getiriyor. Sorun şu anda çözülmemiş.""}",Negatif,sentiment,True
90025,Nötr,"Kullanıcı bilgi almak için geldi, bilgi alındı ve teşekkür etti. Sorun çözümü yok ve memnuniyet ifadesi sınırlı; bilgilendirme işlemi nötr olarak değerlendirilir.","{'sentiment': 'Nötr', 'explanation': 'Kullanıcı bilgi almak için geldi, bilgi alındı ve teşekkür etti. Sorun çözümü yok ve memnuniyet ifadesi sınırlı; bilgilendirme işlemi nötr olarak değerlendirilir.'}",Nötr,sentiment,True
90026,Pozitif,Müşteri yanlış ürün geldiğini bildirdi ve çözüme yönelik adımlar sağlandı: doğru ürünün en kısa sürede gönderileceği ve yanlış ürünün ücretsiz iade edilebileceği bilgisi verildi. Müşteri teşekkür etti ve memnun kaldı.,"{'sentiment': 'Pozitif', 'explanation': 'Müşteri yanlış ürün geldiğini bildirdi ve çözüme yönelik adımlar sağlandı: doğru ürünün en kısa sürede gönderileceği ve yanlış ürünün ücretsiz iade edilebileceği bilgisi verildi. Müşteri teşekkür etti ve memnun kaldı.'}",Pozitif,sentiment,True
90027,Nötr,"Kullanıcı hesap kapatma talebinde bulundu, bot talimatı verdi ve kullanıcı 'Anladım, teşekkürler' dedi; sorun çözümü yok, bilgi paylaşımı ve teşekkür içeriyor.","{'sentiment': 'Nötr', 'explanation': ""Kullanıcı hesap kapatma talebinde bulundu, bot talimatı verdi ve kullanıcı 'Anladım, teşekkürler' dedi; sorun çözümü yok, bilgi paylaşımı ve teşekkür içeriyor.""}",Nötr,sentiment,True
90028,Negatif,"Müşteri eksik ürün nedeniyle şikayetçi ve stokta görünmesine rağmen ürünün bulunmadığı için siparişe eklenemediğini öğrendi. Çözüm olarak para iadesi önerildi; müşteri iade istememekte ve ürünü istiyor. ""Çok kötü bir deneyim oldu"" ifadesi memnuniyetsizliği gösteriyor. Sorun müşterinin talebi doğrultusunda çözülmemiş olduğundan negatif.","{'sentiment': 'Negatif', 'explanation': 'Müşteri eksik ürün nedeniyle şikayetçi ve stokta görünmesine rağmen ürünün bulunmadığı için siparişe eklenemediğini öğrendi. Çözüm olarak para iadesi önerildi; müşteri iade istememekte ve ürünü istiyor. ""Çok kötü bir deneyim oldu"" ifadesi memnuniyetsizliği gösteriyor. Sorun müşterinin talebi doğrultusunda çözülmemiş olduğundan negatif.'}",Negatif,sentiment,True
90029,Pozitif,Müşteri iade süreciyle ilgili sorun bildirdi ve sorun çözüldü; bot yeni bir iade kodu oluşturduktan sonra müşteri 'Harika! Çok teşekkürler.' diyerek memnuniyetini ifade etti. Çözüm ve teşekkür üzerinden olumlu sonuç oluştu.,"{'sentiment': 'Pozitif', 'explanation': ""Müşteri iade süreciyle ilgili sorun bildirdi ve sorun çözüldü; bot yeni bir iade kodu oluşturduktan sonra müşteri 'Harika! Çok teşekkürler.' diyerek memnuniyetini ifade etti. Çözüm ve teşekkür üzerinden olumlu sonuç oluştu.""}",Pozitif,sentiment,True
90030,Pozitif,"Müşteri teslimat adresindeki hatayı düzeltme konusunda yardım istedi ve bot uygun adımları sundu. Sonrasında müşteri teşekkür etti ve memnuniyet ifade etti: 'Teşekkürler, çok yardımcı oldunuz.' Bu, sorun çözümü/yardım için olumlu bir geri bildirimdir.","{'sentiment': 'Pozitif', 'explanation': ""Müşteri teslimat adresindeki hatayı düzeltme konusunda yardım istedi ve bot uygun adımları sundu. Sonrasında müşteri teşekkür etti ve memnuniyet ifade etti: 'Teşekkürler, çok yardımcı oldunuz.' Bu, sorun çözümü/yardım için olumlu bir geri bildirimdir.""}",Pozitif,sentiment,True
90031,Nötr,Sipariş durumuna dair bilgi alınıp yanıtlandı ve müşteri sadece bilgi elde etti; sorun çözümüne ihtiyaç duyulmadı ve müşteri teşekkür etti. Bu durumda nötr olarak sınıflandırılır.,"{'sentiment': 'Nötr', 'explanation': 'Sipariş durumuna dair bilgi alınıp yanıtlandı ve müşteri sadece bilgi elde etti; sorun çözümüne ihtiyaç duyulmadı ve müşteri teşekkür etti. Bu durumda nötr olarak sınıflandırılır.'}",Nötr,sentiment,True
90032,Negatif,"Müşteri hesabından ödeme çekilmediğini bildiriyor ve siparişin tamamlanmadığını belirtiyor. Sorun çözülmemiş durumda ve müşteri &quot;Ne yapabilirim?&quot; diye yardım talep ediyor. Bu durum memnuniyetsizliğe işaret ediyor, dolayısıyla negatif.","{'sentiment': 'Negatif', 'explanation': 'Müşteri hesabından ödeme çekilmediğini bildiriyor ve siparişin tamamlanmadığını belirtiyor. Sorun çözülmemiş durumda ve müşteri &quot;Ne yapabilirim?&quot; diye yardım talep ediyor. Bu durum memnuniyetsizliğe işaret ediyor, dolayısıyla negatif.'}",Negatif,sentiment,True
90033,Pozitif,"Müşteri sorun bildirdi: ürünü denemek için sipariş verdi, bedeni olmadı. İade süreci başlatıldı, iade kodu oluşturuldu ve kargo ücretsiz olarak verildi. Müşteri teşekkür etti ve çok hızlı olduğunu belirtti. Çözüm olumlu ve memnuniyet ifade edildi.","{'sentiment': 'Pozitif', 'explanation': 'Müşteri sorun bildirdi: ürünü denemek için sipariş verdi, bedeni olmadı. İade süreci başlatıldı, iade kodu oluşturuldu ve kargo ücretsiz olarak verildi. Müşteri teşekkür etti ve çok hızlı olduğunu belirtti. Çözüm olumlu ve memnuniyet ifade edildi.'}",Pozitif,sentiment,True
90034,Negatif,"Kullanıcı kupon kodunun çalışmamasını bildirdi ve çözüm bulunamadı; 'Bir çözümünüz yok mu?' ifadesiyle çözüm talebi var, son olarak 'Çok kötü bir hizmet' şeklinde net olumsuz eleştiri gösterdi. Bu nedenle sorun çözülmediği için Negatif.","{'sentiment': 'Negatif', 'explanation': ""Kullanıcı kupon kodunun çalışmamasını bildirdi ve çözüm bulunamadı; 'Bir çözümünüz yok mu?' ifadesiyle çözüm talebi var, son olarak 'Çok kötü bir hizmet' şeklinde net olumsuz eleştiri gösterdi. Bu nedenle sorun çözülmediği için Negatif.""}",Negatif,sentiment,True
90035,Negatif,Müşteri kargo takibiyle ilgili sorun bildiriyor; takip numarası çalışmıyor ve kargonun nerede olduğu konusunda net bilgi alamamış. Durumdan memnun değil ve çözüm henüz sağlanmamış.,"{'sentiment': 'Negatif', 'explanation': 'Müşteri kargo takibiyle ilgili sorun bildiriyor; takip numarası çalışmıyor ve kargonun nerede olduğu konusunda net bilgi alamamış. Durumdan memnun değil ve çözüm henüz sağlanmamış.'}",Negatif,sentiment,True
90036,Pozitif,Müşteri siparişini iptal etmek istedi ve sipariş kargoya verilmeden iptal edilmiştir. Sorun çözüldü ve müşteri teşekkür etti (teşekkür ederim). Bu nedenle memnuniyet ifadesiyle olumlu bir sentiment olarak değerlendirildi.,"{'sentiment': 'Pozitif', 'explanation': 'Müşteri siparişini iptal etmek istedi ve sipariş kargoya verilmeden iptal edilmiştir. Sorun çözüldü ve müşteri teşekkür etti (teşekkür ederim). Bu nedenle memnuniyet ifadesiyle olumlu bir sentiment olarak değerlendirildi.'}",Pozitif,sentiment,True
90037,Nötr,"Kullanıcı bir sorun bildirdi ve garanti kapsamında tamir olup olmadığını sordu; süreç henüz çözümlenmedi. Müşteri yalnızca teşekkür etti, ancak sorun çözülmüş gibi net bir memnuniyet ifadesi veya çözüm bildirilmediği için genel duygu nötr olarak değerlendirildi.","{'sentiment': 'Nötr', 'explanation': 'Kullanıcı bir sorun bildirdi ve garanti kapsamında tamir olup olmadığını sordu; süreç henüz çözümlenmedi. Müşteri yalnızca teşekkür etti, ancak sorun çözülmüş gibi net bir memnuniyet ifadesi veya çözüm bildirilmediği için genel duygu nötr olarak değerlendirildi.'}",Nötr,sentiment,True
90038,Nötr,"Kullanıcı bilgi almak amacıyla geldi, abonelikten çıkış adımı hakkında bilgi verildi ve kullanıcı teşekkür etti; çözüm/sonuç iletilmediği için ve sadece bilgi paylaşımı olduğu için nötr.","{'sentiment': 'Nötr', 'explanation': 'Kullanıcı bilgi almak amacıyla geldi, abonelikten çıkış adımı hakkında bilgi verildi ve kullanıcı teşekkür etti; çözüm/sonuç iletilmediği için ve sadece bilgi paylaşımı olduğu için nötr.'}",Nötr,sentiment,True
90039,Pozitif,Müşteri kargoda gecikme bildirdi; sorun çözüldü ve teslimat yarına yapılacağı belirtildi. Müşteri teşekkür etti ve memnuniyetini ifade etti.,"{'sentiment': 'Pozitif', 'explanation': 'Müşteri kargoda gecikme bildirdi; sorun çözüldü ve teslimat yarına yapılacağı belirtildi. Müşteri teşekkür etti ve memnuniyetini ifade etti.'}",Nötr,sentiment,False
90040,Negatif,Müşteri iade sürecinin uzun sürmesinden şikayet ediyor; 10 gündür beklediğini belirtiyor ve sürecin ne anlama geldiğini soruyor. Son cümlede 'Artık yeter. Ne kadar kötü bir hizmet.' diyerek memnuniyetsizliğini ifade ediyor; sorun çözülmüş değil ve durum hâlâ belirsiz/çözülmemiş.,"{'sentiment': 'Negatif', 'explanation': ""Müşteri iade sürecinin uzun sürmesinden şikayet ediyor; 10 gündür beklediğini belirtiyor ve sürecin ne anlama geldiğini soruyor. Son cümlede 'Artık yeter. Ne kadar kötü bir hizmet.' diyerek memnuniyetsizliğini ifade ediyor; sorun çözülmüş değil ve durum hâlâ belirsiz/çözülmemiş.""}",Negatif,sentiment,True
